sehir,grup,kosuCinsi,mesafe,pist,siklet,yas,handikap,jokey,tam_salise
Izmir,3_ve_Yukari_Ingilizler,Handikap_14_H2,1600,Kum,50,4yda,10,MuhammedBurhanONCEL,10214
Ankara,4_Yasli_Araplar,SARTLI_5,1300,Kum,61,4yaa,75,MehmetSalihCELIK,9032
Ankara,3_ve_Yukari_Ingilizler,Handikap_16_H1,2200,Kum,50.5,3yde,54,AliKACMAZ,14484
Ankara,4_ve_Yukari_Araplar,KV_8,2100,Kum,60,7yaa,108,MehmetAKYAVUZ,15091
Ankara,4_ve_Yukari_Araplar,Handikap_17_H1,1900,Cim,61,5yka,75,GokhanKOCAKAYA,13079
Ankara,3_Yasli_Ingilizler,Handikap_15_H1,1900,Cim,59,3yag,49,ErcanCANKAYA,11916
Ankara,3_Yasli_Ingilizler,SARTLI_3,1500,Kum,55,3ydg,43,HismanCIZIK,9479
Izmir,3_ve_Yukari_Ingilizler,SARTLI_4_Disi,1900,Cim,58,4ydk,56,KaancanGOKCE,12054
Izmir,2_Yasli_Ingilizler,KV_6,1400,Kum,53,2yae,35,MertcanCELIK,8913
Izmir,4_ve_Yukari_Araplar,Handikap_14_H2,1300,Cim,51.5,4yak,32,MertUYAR,8692
Izmir,3_Yasli_Ingilizler,SARTLI_4,1300,Cim,56,3yae,52,MustafaCICEK,7843
Izmir,3_Yasli_Ingilizler,Handikap_15_H2,1800,Cim,61.5,3yde,56,SerdarYILDIRIM,11399
Izmir,4_Yasli_Araplar,Handikap_16_H2,2000,Cim,61.5,4yka,66,MertcanCELIK,13741
Bursa,4_ve_Yukari_Araplar,SARTLI_5_Disi,1900,Kum,57,5ykk,49,TolgaYILDIZ,13664
Bursa,4_ve_Yukari_Araplar,Handikap_14_H2,2200,Cim,60,4yaa,45,KaancanGOKCE,15281
Bursa,3_ve_Yukari_Ingilizler,Handikap_21_H2,1500,Cim,57.5,5yda,77,KadirTOKACOGLU,9026
Bursa,3_ve_Yukari_Ingilizler,SARTLI_3,1400,Kum,57,4yda,62,NevzatAVCI,8743
Bursa,3_Yasli_Ingilizler,Handikap_16_H2,2000,Kum,53,3yde,44,OnurYILDIZ,12973
Bursa,3_Yasli_Ingilizler,KV_7,1300,Kum,58,3yke,75,MustafaCICEK,7988
Bursa,4_Yasli_Araplar,Handikap_14_H2,1200,Kum,56.5,4yda,35,NevzatAVCI,8246
Istanbul,3_Yasli_Araplar,Maiden,1400,Cim,57,3yke,34,OzcanYILDIRIM,9603
Istanbul,4_Yasli_Araplar,Handikap_14_Disi_H1,2100,Cim,53.5,4ydk,39,MertcanCELIK,14605
Istanbul,3_Yasli_Ingilizler,SARTLI_5,2100,Sentetik,58,3yde,43,HismanCIZIK,13459
Istanbul,2_Yasli_Ingilizler,KV_7,1400,Sentetik,53,2yae,33,MuslumBAYDAN,8822
Istanbul,4_ve_Yukari_Araplar,Handikap_22_H1,2000,Sentetik,62,8yka,95,GokhanKOCAKAYA,13940
Istanbul,3_Yasli_Araplar,Maiden,1400,Cim,52,3yad,33,VedatABIS,9499
Istanbul,4_ve_Yukari_Araplar,SARTLI_5,1400,Cim,60.5,8yak,100,MehmetAKYAVUZ,9213
